CASHFLOW DASHBOARD,,,,,,,,,,
,,,,,,,,,,
CASH IN HAND / ACTUAL CUMULATIVE CASH,PLANNED RECEIPTS  FOR NEXT 5 MONTHS,,PLANNED PAYMENTS FOR THE NEXT 5 MONTHS,,,PLANNED NET CASH FOR THE NEXT 5 MONTHS,,,,
$0.00,#REF!,,#REF!,,,#REF!,,,,
,,,,,,,,,,
UPCOMING RECEIPTS & PAYMENTS,,,,,,,,,,
PROJECT ID,PROJECT NAME,MONTH,RECEIPTS (PLANNED),RECEIPT STATUS,RECEIPT REMARK,PAYMENTS (PLANNED),PAYMENT STATUS,PAYMENT REMARK,,
D10904,FGRS Construction,Sep-26,"$845,951.25",OVERDUE,,"$843,600.00",OVERDUE,,,
D9939,Supply Of Power Transformer,Sep-26,"$2,303,547.03",OVERDUE,,$0.00,,,,
D10904,FGRS Construction,Oct-26,"$1,691,902.50",DUE,,"$1,191,075.00",DUE,,,
D9939,Supply Of Power Transformer,Oct-26,"$3,839,245.05",DUE,,"$1,563,293.05",DUE,,,
D10904,FGRS Construction,Jul-26,"$3,045,424.50",OVERDUE,,"$1,687,200.00",OVERDUE,,,
D9939,Supply Of Power Transformer,Jul-26,$0.00,,,"$3,647,683.78",OVERDUE,,,
D10904,FGRS Construction,Jun-26,"$3,045,424.50",OVERDUE,,"$1,265,400.00",OVERDUE,,,
D10904,FGRS Construction,May-26,"$5,075,707.50",OVERDUE,,"$1,476,300.00",OVERDUE,,,
D10904,FGRS Construction,Apr-26,"$1,691,902.50",OVERDUE,,"$53,280.93",OVERDUE,,,
D10904,FGRS Construction,Mar-26,$0.00,,,"$1,191,152.51",OVERDUE,,,
D10904,FGRS Construction,Feb-26,$0.00,,,"$28,432.50",OVERDUE,,,
D10904,FGRS Construction,Jan-26,$0.00,,,"$428,432.50",OVERDUE,,,
D10904,FGRS Construction,Dec-25,$0.00,,,"$28,432.50",OVERDUE,,,
D10904,FGRS Construction,Nov-25,$0.00,,,"$428,432.50",OVERDUE,,,
D10904,FGRS Construction,Oct-25,$0.00,,,"$328,432.50",PARTIAL,,,
D10904,FGRS Construction,Sep-25,"$1,522,712.25",OVERDUE,,"$295,260.00",EXCESS,,,
D10904,FGRS Construction,Aug-25,$0.00,,,"$550,000.00",PARTIAL,,,
D10904,FGRS Construction,Jul-25,$0.00,,,"$952,770.00",PARTIAL,,,
D9939,Supply Of Power Transformer,Jul-25,$0.00,,,"$3,647,683.78",OVERDUE,,,
D9939,Supply Of Power Transformer,Apr-25,"$3,839,245.05",OVERDUE,,$0.00,,,,
D9939,Supply Of Power Transformer,Mar-25,"$4,607,094.06",OVERDUE,,"$1,042,195.37",OVERDUE,,,
D9939,Supply Of Power Transformer,Jul-24,$0.00,,,"$521,097.68",OVERDUE,,,
,TOTAL,,"$8,680,645.84",,,"$3,597,968.05",,,,
,,,,,,,,,,
,,,,,,,,,,
PLANNED V/S ACTUAL CASHFLOW,START DATE,Jul-24,END DATE,Dec-29,,,,,,
